model_id,duration_seconds,energy_consumed_kWh,gpu_energy_kWh,Accuracy,AUC,F1,emissions_kg_CO2eq,cpu_energy_kWh,ram_energy_kWh,Recall,Prec.,Kappa,MCC
lr,5.704722280000055,0.00029821350405061784,0.0001878429280520004,0.8268,0.9057,0.8252,0.00012823180674176568,1.502991697695013e-05,9.534065902166731e-05,0.8177,0.8329,0.6535,0.6537
knn,4.952719030000026,0.00028757247544447485,0.00019316182119600254,0.9811,0.993,0.9811,0.0001236561644411242,1.285618014847363e-05,8.15544740999987e-05,0.9823,0.9799,0.9622,0.9622
nb,4.324270280000064,0.00021382932208033296,0.0001327681617700003,0.8071,0.8871,0.8077,9.194660849454317e-05,1.1037221508666603e-05,7.002393880166608e-05,0.8099,0.8055,0.6142,0.6142
dt,170.55395609999994,0.009193447638139212,0.005702072339432001,0.8575,0.8575,0.8575,0.003953182484399861,0.0004754803563722044,0.0030158949423350055,0.8574,0.8576,0.7149,0.7149
rf,16.529599729999973,0.0009206644793292115,0.0005913118619380008,0.9683,0.992,0.9684,0.0003958857261115609,4.485543528287542e-05,0.0002844971821083353,0.9694,0.9673,0.9366,0.9366
xgboost,6.690185493000058,0.0003567176192522036,0.00022408712371400213,0.977,0.9936,0.977,0.00015338857627844756,1.940250401320115e-05,0.00011322799152500031,0.9771,0.977,0.954,0.954
lightgbm,16.065677720000053,0.0011594816703094672,0.0005361254289000007,0.9647,0.9912,0.9648,0.0004985771182330708,5.38255332344675e-05,0.0005695307081749991,0.9663,0.9633,0.9294,0.9294
