model_id,duration_seconds,energy_consumed_kWh,gpu_energy_kWh,Accuracy,AUC,F1,emissions_kg_CO2eq,cpu_energy_kWh,ram_energy_kWh,Recall,Prec.,Kappa,MCC
lr,5.592762584999946,0.0002751158186535005,0.0001671479114960031,0.8268,0.9057,0.8252,0.00011829980202100522,1.470316991416407e-05,9.32647372433333e-05,0.8177,0.8329,0.6535,0.6537
knn,5.189481017000162,0.00028735539430099777,0.00018794848369199646,0.9811,0.993,0.9811,0.00012356281954942905,1.3535221409001364e-05,8.587168919999992e-05,0.9823,0.9799,0.9622,0.9622
nb,4.562574755999776,0.00021454858088543752,0.00012844260275399894,0.8071,0.8871,0.8077,9.225588978073813e-05,1.1725436823107326e-05,7.438054130833128e-05,0.8099,0.8055,0.6142,0.6142
dt,169.44380411800012,0.00889300741608002,0.005425662118304003,0.8575,0.8575,0.8575,0.0038239931889144088,0.00047222838261935427,0.0029951169151566635,0.8574,0.8576,0.7149,0.7149
rf,90.33725525200043,0.004619592275730576,0.0029462943014779974,0.9683,0.992,0.9684,0.0019864246785641477,0.0002377121729508972,0.0014355858013016813,0.9694,0.9673,0.9366,0.9366
xgboost,8.552980187999765,0.0004482554024668533,0.00027615883203799957,0.977,0.9936,0.977,0.00019274982306074692,2.464428695218592e-05,0.0001474522834766678,0.9771,0.977,0.954,0.954
lightgbm,10.868385350000153,0.00060832762804663,0.00033053193109200407,0.9647,0.9912,0.9648,0.0002615808800600509,8.783659511295653e-05,0.00018995910184166936,0.9663,0.9633,0.9294,0.9294
