timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-28T15:05:40,CC_MODE_OFF_rf_run_2,62436825-28bf-4016-82ac-74963c53cd4c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,193.2251499779996,0.001705900288412,8.82856237195953e-06,264.2050301126923,0.0,10.0,0.0168269322773874,0.0,0.0005186191157472,0.0173455513931346,Brazil,BRA,rio grande do norte,,,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.42,3.11.9,3.0.4,8,13th Gen Intel(R) Core(TM) i3-13100,,,-35.2235,-5.8111,3.7292709350585938,machine,N,1.0
2025-08-28T15:06:24,CC_MODE_OFF_xgboost_run_2,66805e91-3119-4296-b8cb-d69ccc887188,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,39.055845564000265,0.0003433934156392,8.792369251782144e-06,262.453703995,0.0,10.0,0.0033873018129291,0.0,0.00010431383395,0.0034916156468791,Brazil,BRA,rio grande do norte,,,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.42,3.11.9,3.0.4,8,13th Gen Intel(R) Core(TM) i3-13100,,,-35.2235,-5.8111,3.7292709350585938,machine,N,1.0
2025-08-28T15:06:42,CC_MODE_OFF_lr_run_3,53d32a21-314e-406c-afae-c476dbfb0b1c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.2809800240002,7.284571481077864e-05,5.931588087304054e-06,216.3524804525,0.0,10.0,0.0007079719540468,0.0,3.272144908055452e-05,0.0007406934031274,Brazil,BRA,rio grande do norte,,,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.42,3.11.9,3.0.4,8,13th Gen Intel(R) Core(TM) i3-13100,,,-35.2235,-5.8111,3.7292709350585938,machine,N,1.0
2025-08-28T15:08:02,CC_MODE_OFF_knn_run_3,c333214a-00c0-41de-8550-10d203ab0a8b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,75.81573160900007,0.0001586550558328,2.092640306514107e-06,64.16160041375,0.0,10.0,0.0014095624297403,0.0,0.0002036382030416,0.001613200632782,Brazil,BRA,rio grande do norte,,,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.42,3.11.9,3.0.4,8,13th Gen Intel(R) Core(TM) i3-13100,,,-35.2235,-5.8111,3.7292709350585938,machine,N,1.0
2025-08-28T15:08:11,CC_MODE_OFF_nb_run_3,7a7cb684-8350-4d3c-b8d9-c6575b2b957f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.885628985999574,4.178118022523509e-06,1.075274566248556e-06,35.195391035,0.0,10.0,3.308589726935403e-05,0.0,9.397102105554546e-06,4.248299937490858e-05,Brazil,BRA,rio grande do norte,,,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.42,3.11.9,3.0.4,8,13th Gen Intel(R) Core(TM) i3-13100,,,-35.2235,-5.8111,3.7292709350585938,machine,N,1.0
2025-08-28T15:10:26,CC_MODE_OFF_dt_run_3,620af8d7-a8f6-4098-b6ba-282f62471832,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,130.22366195099949,0.000156656380948,1.2029793863960312e-06,35.45229263545455,0.0,10.0,0.0012436755202308,0.0,0.0003492026363972,0.001592878156628,Brazil,BRA,rio grande do norte,,,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.42,3.11.9,3.0.4,8,13th Gen Intel(R) Core(TM) i3-13100,,,-35.2235,-5.8111,3.7292709350585938,machine,N,1.0
2025-08-28T15:14:19,CC_MODE_OFF_rf_run_3,c23748be-3028-4566-a6e6-77a629f8ccaf,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,228.1793040730008,0.0020213344741379,8.858535537873513e-06,35.0,0.0,10.0,0.0199427152341423,0.0,0.0006101630566,0.0205528782907423,Brazil,BRA,rio grande do norte,,,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.42,3.11.9,3.0.4,8,13th Gen Intel(R) Core(TM) i3-13100,,,-35.2235,-5.8111,3.7292709350585938,machine,N,1.0
2025-08-28T15:14:53,CC_MODE_OFF_xgboost_run_3,dec3b97f-5379-4c7e-9f9b-4ff4ee45ad9f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,28.68764365599964,0.0002284751676884,7.964236116015258e-06,251.425668995,0.0,10.0,0.0022462330497286,0.0,7.689673113611155e-05,0.0023231297808647,Brazil,BRA,rio grande do norte,,,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.42,3.11.9,3.0.4,8,13th Gen Intel(R) Core(TM) i3-13100,,,-35.2235,-5.8111,3.7292709350585938,machine,N,1.0
2025-08-28T15:15:11,CC_MODE_OFF_lr_run_4,1593db78-307b-4199-837f-4572c500a7e1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.445109590000357,1.4990966476840837e-06,1.2045668516158408e-07,180.06185490124997,0.0,10.0,0.0005974313840044,0.0,3.317811055833318e-05,0.0006306094945627,Canada,CAN,quebec,,,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.42,3.11.9,3.0.4,8,13th Gen Intel(R) Core(TM) i3-13100,,,-71.2,46.8,3.7292709350585938,machine,N,1.0
2025-08-28T15:16:43,CC_MODE_OFF_knn_run_4,02154069-f007-4e5e-9b1c-f001ae2c5989,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,87.2790739990005,0.0001808797014707,2.0724291996134844e-06,65.51538599375,0.0,10.0,0.0016051001579755,0.0,0.0002340801148388,0.0018391802728144,Brazil,BRA,rio grande do norte,,,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.42,3.11.9,3.0.4,8,13th Gen Intel(R) Core(TM) i3-13100,,,-35.2235,-5.8111,3.7292709350585938,machine,N,1.0
